Site,Treatment,Plot,Date_collected,Sampling,Quad_area,Species,Foil_wt (g),wet_wt,dry_wt,Net_drywt,Macro_perm2,,,,,,,,,,,,,,,,,
CB, +Nutrients,1,25-06-2018,Initial ,0.1083,,,,,,0,,,,,,,,,,,,,,,,,
CB, +Nutrients,2,25-06-2018,Initial ,0.1083,,,,,,0,,,,,,,,,,,,,,,,,
CB, +Nutrients,3,26-06-2018,Initial ,0.1083,Zostera_japonica,,,,,0,,,,,,,,,,,,,,,,,
CB, +Nutrients,4,26-06-2018,Initial ,0.1083,,,,,,0,,,,,,,,,,,,,,,,,
CB, +Nutrients,5,26-06-2018,Initial ,0.1083,Zostera_japonica,1.39,3.01,1.60,0.21,1.939896904,,,,,,,,,,,,,,,,,
CB, +Nutrients,6,25-06-2018,Initial ,0.1083,Zostera_japonica,,,,,0,,,,,,,,,,,,,,,,,
CB, +Nutrients,7,26-06-2018,Initial ,0.1083,,,,,,0,,,,,,,,,,,,,,,,,
CB, +Nutrients,8,26-06-2018,Initial ,0.1083,Zostera_japonica,1.35,3.06,1.54,0.19,1.755144818,,,,,,,,,,,,,,,,,
CB,Ambient,1,25-06-2018,Initial ,0.1083,Zostera_japonica,,,,,0,,,,,,,,,,,,,,,,,
CB,Ambient,2,26-06-2018,Initial ,0.1083,Zostera_japonica,1.41,4.08,1.75,0.34,3.140785464,,,,,,,,,,,,,,,,,
CB,Ambient,2,26-06-2018,Initial ,0.1083,Ulva_spxx,,,,,0,,,,,,,,,,,,,,,,,
CB,Ambient,3,25-06-2018,Initial ,0.1083,Zostera_japonica,,,,,0,,,,,,,,,,,,,,,,,
CB,Ambient,4,26-06-2018,Initial ,0.1083,Ulva_spxx,,,,,0,,,,,,,,,,,,,,,,,
CB,Ambient,5,26-06-2018,Initial ,0.1083,,,,,,0,,,,,,,,,,,,,,,,,
CB,Ambient,6,26-06-2018,Initial ,0.1083,,,,,,0,,,,,,,,,,,,,,,,,
CB,Ambient,7,26-06-2018,Initial ,0.1083,,,,,,0,,,,,,,,,,,,,,,,,
CB,Ambient,8,25-06-2018,Initial ,0.1083,Zostera_japonica,2.18,9.9,3.18,1.00,9.237604307,,,,,,,,,,,,,,,,,
CB, +Nutrients,1,24-07-2018,1Month,0.1083,Hypnea_spxx,1.58,23.19,2.75,1.17,10.80799704,,,,,,,,,,,,,,,,,
CB, +Nutrients,1,24-07-2018,1Month,0.1083,Ulva_intestinalis,1.74,6.36,1.91,0.17,1.570392732,,,,,,,,,,,,,,,,,
CB, +Nutrients,1,24-07-2018,1Month,0.1083,Ulva_lenza,1.52,2.6,1.62,0.10,0.923760431,,,,,,,,,,,,,,,,,
CB, +Nutrients,2,24-07-2018,1Month,0.1083,Hypnea_spxx,1.53,2.94,1.61,0.08,0.739008345,,,,,,,,,,,,,,,,,
CB, +Nutrients,3,24-07-2018,1Month,0.1083,Hypnea_spxx,1.29,6.53,1.61,0.32,2.956033378,,,,,,,,,,,,,,,,,
CB, +Nutrients,3,24-07-2018,1Month,0.1083,Cladophora_spxx,,,,,0.001,,,,,,,,,,,,,,,,,
CB, +Nutrients,3,24-07-2018,1Month,0.1083,Ulva_intestinalis,,,,,0.001,,,,,,,,,,,,,,,,,
CB, +Nutrients,4,24-07-2018,1Month,0.1083,Hypnea_spxx,1.51,14.38,2.09,0.58,5.357810498,,,,,,,,,,,,,,,,,
