Site,Treatment,Plot,Date_collected,Sampling,Quad_area,Reg_shoot,Reg_shoot_perm2,flow_shoot,Live bag wt (g),live wet wt (g) ,live dry wt (g),Live_netdry,Live_perm2,detritus tin wt (g),detritus wet weight (g),detritus dry weight (g) ,Detritus_perm2,Detritus_netdry,Detritus_perm2,Length_sh1,Length_sh2,Length_sh3,Length_sh4,Length_sh5,Mean_L,Width_sh1,Width_sh2,Width_sh3,Width_sh4,Width_sh5,Mean_W,Sheath_sh1,Sheath_sh2,Sheath_sh3,Sheath_sh4,Sheath_sh5,Mean_sheath,Blades_sh1,Blades_sh2,Blades_sh3,Blades_sh4,Blades_sh5,Mean_blades
CB, + Nutrients,1,25-06-2018,Initial,0.1083,58,535.7810498,0,7.32,92.00,19.14,11.82,109.19,2.05,25.64,4.20,38.80,2.15,19.86,54.0,50.7,51.0,49.3,41.4,49.3,0.4,0.6,0.4,0.4,0.4,0.44,11.0,10.8,12.1,10.0,8.3,10.4,6,5,5,5,4,5.0
CB, + Nutrients,2,25-06-2018,Initial,0.1083,54,498.8306326,0,7.31,93.80,18.68,11.37,105.03,2.09,36.61,5.13,47.39,3.04,28.08,49.2,44.5,22.8,42.7,41.8,40.2,0.6,0.5,0.3,0.4,0.4,0.44,12.8,10.9,7.0,10.2,9.2,10.0,8,5,4,5,5,5.4
CB, + Nutrients,3,26-06-2018,Initial,0.1083,45,415.6921938,2,7.36,83.71,16.74,9.38,86.65,2.36,20.63,4.88,45.08,2.52,23.28,57.1,37.9,30.9,46.7,42.7,43.1,0.6,0.3,0.3,0.5,0.5,0.44,10.6,10.7,5.7,9.1,7.4,8.7,5,5,4,5,5,4.8
CB, + Nutrients,4,26-06-2018,Initial,0.1083,37,341.7913594,0,7.29,56.06,13.54,6.25,57.74,2.47,38.28,6.40,59.12,3.93,36.30,48.3,39.7,18.9,21.0,41.4,33.9,0.5,0.4,0.2,0.4,0.6,0.42,10.1,7.6,1.6,2.0,7.6,5.8,5,4,3,3,5,4.0
CB, + Nutrients,5,26-06-2018,Initial,0.1083,43,397.2169852,0,7.31,53.50,13.71,6.40,59.12,2.08,30.21,5.34,49.33,3.26,30.11,48.2,34.4,39.7,31.0,44.3,39.5,0.6,0.4,0.4,0.4,0.5,0.46,9.6,7.6,6.4,6.6,6.7,7.4,7,4,5,4,5,5.0
CB, + Nutrients,6,25-06-2018,Initial,0.1083,50,461.8802154,0,7.29,50.83,13.62,6.33,58.47,2.19,14.00,3.45,31.87,1.26,11.64,51.7,38.5,30.8,41.9,26.2,37.8,0.5,0.6,0.3,0.4,0.3,0.42,12.8,9.3,4.8,8.8,6.4,8.4,5,8,4,5,4,5.2
CB, + Nutrients,7,26-06-2018,Initial,0.1083,18,166.2768775,0,7.33,20.42,8.81,1.48,13.67,2.37,8.89,3.03,27.99,0.66,6.10,40.8,27.6,35.8,22.5,25.7,30.5,0.5,0.4,0.4,0.4,0.4,0.42,10.1,5.5,6.6,3.5,5.8,6.3,5,7,6,4,5,5.4
CB, + Nutrients,8,26-06-2018,Initial,0.1083,38,351.0289637,0,7.31,68.31,14.65,7.34,67.80,2.58,6.28,3.03,27.99,0.45,4.16,48.0,18.6,22.8,39.8,43.9,34.6,0.5,0.3,0.4,0.5,0.5,0.44,9.5,3.7,3.3,6.3,5.1,5.6,5,4,4,6,5,4.8
CB,Ambient,1,25-06-2018,Initial,0.1083,30,277.1281292,1,7.33,30.31,11.97,4.64,42.86,2.30,21.31,4.48,41.38,2.18,20.14,51.7,39.2,33.4,42.1,25.1,38.3,0.4,0.5,0.4,0.4,0.3,0.40,13.6,10.4,7.8,9.5,3.4,8.9,5,5,5,8,3,5.2
CB,Ambient,2,26-06-2018,Initial,0.1083,37,341.7913594,1,7.30,47.23,11.93,4.63,42.77,1.89,21.19,4.08,37.69,2.19,20.23,46.0,34.8,36.2,28.7,36.0,36.3,0.5,0.5,0.5,0.3,0.4,0.44,7.9,6.7,5.8,4.4,6.2,6.2,4,6,6,4,5,5.0
