Site,Treatment,Plot,Date_collected,Sampling,Quad_area,Num_Species,Sum_weight,,,,,,,,,,,,,,,,
, +Nutrients,1,,Initial ,,0,,,,,,,,,,,,,,,,,
, +Nutrients,2,,Initial ,,3,,,,,,,,,,,,,,,,,
, +Nutrients,3,,Initial ,,1,,,,,,,,,,,,,,,,,
, +Nutrients,4,,Initial ,,0,,,,,,,,,,,,,,,,,
, +Nutrients,5,,Initial ,,1,,,,,,,,,,,,,,,,,
, +Nutrients,6,,Initial ,,0,,,,,,,,,,,,,,,,,
, +Nutrients,7,,Initial ,,0,,,,,,,,,,,,,,,,,
, +Nutrients,8,,Initial ,,1,,,,,,,,,,,,,,,,,
,Ambient,1,,Initial ,,1,,,,,,,,,,,,,,,,,
,Ambient,2,,Initial ,,0,,,,,,,,,,,,,,,,,
,Ambient,3,,Initial ,,1,,,,,,,,,,,,,,,,,
,Ambient,4,,Initial ,,0,,,,,,,,,,,,,,,,,
,Ambient,5,,Initial ,,1,,,,,,,,,,,,,,,,,
,Ambient,6,,Initial ,,0,,,,,,,,,,,,,,,,,
,Ambient,7,,Initial ,,1,,,,,,,,,,,,,,,,,
,Ambient,8,,Initial ,,2,,,,,,,,,,,,,,,,,
, +Nutrients,1,,6Week,,2,,,,,,,,,,,,,,,,,
, +Nutrients,2,,6Week,,3,,,,,,,,,,,,,,,,,
, +Nutrients,3,,6Week,,2,,,,,,,,,,,,,,,,,
, +Nutrients,4,,6Week,,2,,,,,,,,,,,,,,,,,
, +Nutrients,5,,6Week,,2,,,,,,,,,,,,,,,,,
, +Nutrients,6,,6Week,,3,,,,,,,,,,,,,,,,,
, +Nutrients,7,,6Week,,1,,,,,,,,,,,,,,,,,
, +Nutrients,8,,6Week,,2,,,,,,,,,,,,,,,,,
,Ambient,1,,6Week,,3,,,,,,,,,,,,,,,,,
,Ambient,2,,6Week,,1,,,,,,,,,,,,,,,,,
,Ambient,3,,6Week,,2,,,,,,,,,,,,,,,,,
,Ambient,4,,6Week,,1,,,,,,,,,,,,,,,,,
,Ambient,5,,6Week,,3,,,,,,,,,,,,,,,,,
,Ambient,6,,6Week,,1,,,,,,,,,,,,,,,,,
,Ambient,7,,6Week,,2,,,,,,,,,,,,,,,,,
,Ambient,8,,6Week,,1,,,,,,,,,,,,,,,,,
