Site,Treatment,Plot,Date_collected,Sampling,Blades,Length,Width,Sheath,foil_wt (g),wet_wt (g),dry_wt (g),Net_drywt (g),GFC_wt,GFC_drywt,Net_epiwt,Ratio,Biomass_tinwt,Biomass_drywt,Net_biomasswt,,,,,,,,,,
MBT1, + Nutrients,1,28-06-2018,Initial,5,76.0,0.6,13.4,1.86,5.45,2.45,0.59,1.3854,1.4100,0.0246,0.0417,,,0.0246,,,,,,,,,,
MBT1, + Nutrients,2,28-06-2018,Initial,5,57.5,0.6,16.4,2.19,4.23,2.54,0.35,1.3838,1.3896,0.0058,0.0166,,,0.0058,,,,,,,,,,
MBT1, + Nutrients,3,28-06-2018,Initial,4,86.4,0.5,16.0,2.04,4.38,2.38,0.34,1.3740,1.3775,0.0035,0.0103,,0.985,,,,,,,,,,,
MBT1, + Nutrients,4,28-06-2018,Initial,6,34.6,0.5,17.2,1.92,4.09,2.23,0.31,1.3744,1.3763,0.0019,0.0061,,,0.0019,,,,,,,,,,
MBT1, + Nutrients,5,28-06-2018,Initial,8,101.8,0.6,21.8,2.10,8.47,3.09,0.99,1.3842,1.4060,0.0218,0.0220,,,0.0218,,,,,,,,,,
MBT1, + Nutrients,6,28-06-2018,Initial,3,31.0,0.4,7.7,1.81,2.26,1.90,0.09,1.3895,1.3919,0.0024,0.0267,,,0.0024,,,,,,,,,,
MBT1, + Nutrients,7,28-06-2018,Initial,5,73.0,0.6,7.3,1.99,7.0494,2.79,0.80,1.4760,1.5038,0.0278,0.0348,117.7400,117.84,0.10,,,,,,,,,,
MBT1, + Nutrients,8,28-06-2018,Initial,5,66.8,0.5,12.9,2.15,3.8,2.42,0.27,1.3756,1.3771,0.0015,0.0056,,,0.0015,,,,,,,,,,
MBT1,Ambient,1,28-06-2018,Initial,8,84.7,0.6,17.1,2.05,6.05,2.86,0.81,1.3893,1.4015,0.0122,0.0151,,,0.0122,,,,,,,,,,
MBT1,Ambient,2,28-06-2018,Initial,3,48.2,0.5,10.7,1.35,2.66,1.54,0.19,1.3811,1.3865,0.0054,0.0284,,,0.0054,,,,,,,,,,
MBT1,Ambient,3,28-06-2018,Initial,4,34.7,0.3,11.8,2.03,3.11,2.25,0.22,1.3883,1.3907,0.0024,0.0109,,,0.0024,,,,,,,,,,
MBT1,Ambient,4,27-06-2018,Initial,4,54.8,0.4,11.4,1.91,3.18,2.16,0.25,1.3885,1.3918,0.0033,0.0132,,,0.0033,,,,,,,,,,
MBT1,Ambient,5,28-06-2018,Initial,7,61.0,0.5,16.2,1.94,4.61,2.37,0.43,1.3947,1.4029,0.0082,0.0191,,,0.0082,,,,,,,,,,
MBT1,Ambient,6,28-06-2018,Initial,5,67.4,0.5,10.8,1.79,3.38,2.07,0.28,1.3789,1.3813,0.0024,0.0086,,,0.0024,,,,,,,,,,
MBT1,Ambient,7,27-06-2018,Initial,7,101.2,0.8,20.0,2.06,13.0299,3.62,1.56,1.5538,1.5892,0.0354,0.0227,117.2600,117.35,0.0900,,,,,,,,,,
