Site,Treatment,Plot,Date_collected,Sampling,Quad_area,Species,Foil_wt (g),wet_wt,dry_wt,Net_drywt,Macro_perm2,,,,,,,,,,,,,,,,,
MBT1, +Nutrients,1,28-06-2018,Initial,0.1083,,,,,0,0,,,,,,,,,,,,,,,,,
MBT1, +Nutrients,2,28-06-2018,Initial,0.1083,Ulva_spxx,,,,0.001,0.009237604,,,,,,,,,,,,,,,,,
MBT1, +Nutrients,2,28-06-2018,Initial,0.1083,coarsely branched red,,,,0.001,0.009237604,,,,,,,,,,,,,,,,,
MBT1, +Nutrients,2,28-06-2018,Initial,0.1083,coarsely branched green,,,,0.001,0.009237604,,,,,,,,,,,,,,,,,
MBT1, +Nutrients,3,28-06-2018,Initial,0.1083,Ulva_spxx,,,,0.001,0.009237604,,,,,,,,,,,,,,,,,
MBT1, +Nutrients,4,28-06-2018,Initial,0.1083,,,,,0,0,,,,,,,,,,,,,,,,,
MBT1, +Nutrients,5,28-06-2018,Initial,0.1083,coarsely branched brown or red,,,,0.001,0.009237604,,,,,,,,,,,,,,,,,
MBT1, +Nutrients,5,28-06-2018,Initial,0.1083,Zostera_japonica,,,,0.001,0.009237604,,,,,,,,,,,,,,,,,
MBT1, +Nutrients,6,28-06-2018,Initial,0.1083,,,,,0,0,,,,,,,,,,,,,,,,,
MBT1, +Nutrients,7,28-06-2018,Initial,0.1083,,,,,0,0,,,,,,,,,,,,,,,,,
MBT1, +Nutrients,8,28-06-2018,Initial,0.1083,Sargassum_muticum,1.84,7.99,2.52,0.68,6.281570929,,,,,,,,,,,,,,,,,
MBT1,Ambient,1,28-06-2018,Initial,0.1083,Ulva_spxx,,,,0.001,0.009237604,,,,,,,,,,,,,,,,,
MBT1,Ambient,2,28-06-2018,Initial,0.1083,,,,,0,0,,,,,,,,,,,,,,,,,
MBT1,Ambient,3,28-06-2018,Initial,0.1083,coarsely branched red,1.81,3.91,2.04,0.23,2.124648991,,,,,,,,,,,,,,,,,
MBT1,Ambient,4,27-06-2018,Initial,0.1083,,,,,0,0,,,,,,,,,,,,,,,,,
MBT1,Ambient,5,28-06-2018,Initial,0.1083,Coarsely branching red/brown,,,,0.001,0.009237604,,,,,,,,,,,,,,,,,
MBT1,Ambient,6,28-06-2018,Initial,0.1083,,,,,0,0,,,,,,,,,,,,,,,,,
MBT1,Ambient,7,27-06-2018,Initial,0.1083,Ulva_spxx,,,,0.001,0.009237604,,,,,,,,,,,,,,,,,
MBT1,Ambient,7,27-06-2018,Initial,0.1083,Zostera_japonica,,,,0.001,0.009237604,,,,,,,,,,,,,,,,,
MBT1,Ambient,8,28-06-2018,Initial,0.1083,Ulva_spxx,,,,0.001,0.009237604,,,,,,,,,,,,,,,,,
MBT1,Ambient,8,28-06-2018,Initial,0.1083,Branched green algae,,,,0.001,0.009237604,,,,,,,,,,,,,,,,,
